id,username,type,graduation_date,cgpa,entryyear,entrytype,left_date
1783,2210469079,3,NULL,NULL,2021,NULL,NULL
1784,2210469080,3,NULL,NULL,2021,NULL,NULL
1785,2210469081,3,NULL,NULL,2021,NULL,NULL
1786,2210469082,3,NULL,NULL,2021,NULL,NULL
1787,2210469083,3,NULL,NULL,2021,NULL,NULL
1788,2210469084,3,NULL,NULL,2021,NULL,NULL
1789,2210469085,3,NULL,NULL,2021,NULL,NULL
1790,2210469086,3,NULL,NULL,2021,NULL,NULL
1791,2210469087,3,NULL,NULL,2021,NULL,NULL
1792,2210469088,3,NULL,NULL,2021,NULL,NULL
1793,2210469089,3,NULL,NULL,2021,NULL,NULL
1794,2210469090,3,NULL,NULL,2021,NULL,NULL
1796,2210469092,3,NULL,NULL,2021,NULL,NULL
1797,2210469093,3,NULL,NULL,2021,NULL,NULL
1798,2210469094,3,NULL,NULL,2021,NULL,NULL
1799,2210469095,3,NULL,NULL,2021,NULL,NULL
1800,2210469096,3,NULL,NULL,2021,NULL,NULL
1801,2210469097,3,NULL,NULL,2021,NULL,NULL
1802,2210469098,3,NULL,NULL,2021,NULL,NULL
1803,2210469099,3,NULL,NULL,2021,NULL,NULL
1804,2210469100,3,NULL,NULL,2021,NULL,NULL
1805,2210469101,3,NULL,NULL,2021,NULL,NULL
1806,2210469102,2,NULL,3.15,2021,NULL,NULL
1807,2210469103,3,NULL,NULL,2021,NULL,NULL
1808,2210469104,2,NULL,3.29,2021,NULL,NULL
1809,2210469105,2,NULL,3.39,2021,NULL,NULL
1810,2210469106,2,NULL,3.24,2021,NULL,NULL
1811,2210469107,3,NULL,NULL,2021,NULL,NULL
1812,2210469108,3,NULL,NULL,2021,NULL,NULL
1813,2210469109,3,NULL,NULL,2021,NULL,NULL
1814,N21130047,4,01.07.2023,NULL,2021,NULL,NULL
1815,N21131451,4,01.07.2023,NULL,2021,NULL,NULL
1816,N21131512,4,01.07.2023,NULL,2021,1,NULL
1817,N21132532,4,30.06.2023,NULL,2021,30,NULL
1818,N21133495,4,01.07.2023,NULL,2021,1,NULL
1819,N21135126,4,01.07.2023,NULL,2021,30,NULL
1822,N21137806,13,NULL,NULL,2021,1,01.07.2023
1825,N21138503,13,NULL,NULL,2021,1,01.07.2023
1827,N21138801,13,NULL,NULL,2021,1,01.07.2023
1828,N21138984,4,01.07.2023,NULL,2021,1,NULL
1830,21631593,13,NULL,NULL,2021,1,NULL
1831,21431232,4,NULL,NULL,2021,1,NULL
1832,21731626,13,NULL,NULL,2021,1,NULL
1835,N21142866,11,NULL,NULL,2021,34,NULL
1837,N21144694,11,NULL,NULL,2021,34,NULL
1839,N21130054,9,NULL,NULL,2021,1,NULL
1840,N21130087,9,NULL,NULL,2021,1,NULL
